GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CurriculatorApp,curriculatorapp.controller,RegisterController,92,0,8,0,25,0,9,0,5,0
CurriculatorApp,curriculatorapp.controller,LoginController,81,0,6,0,23,0,8,0,5,0
CurriculatorApp,curriculatorapp.controller,AppController,7,0,0,0,3,0,2,0,2,0
CurriculatorApp,curriculatorapp.ui,CurriculatorUi,63,0,0,0,19,0,5,0,5,0
CurriculatorApp,curriculatorapp.domain,User,0,62,0,0,0,22,0,10,0,10
CurriculatorApp,curriculatorapp.connect,Connect,31,0,2,0,15,0,4,0,3,0
CurriculatorApp,curriculatorapp.dao,UserDao,117,0,6,0,32,0,7,0,4,0
CurriculatorApp,curriculatorapp,Main,6,0,0,0,3,0,2,0,2,0
CurriculatorApp,curriculatorapp.logic,LoginService,3,0,0,0,1,0,1,0,1,0
CurriculatorApp,curriculatorapp.logic,AppService,59,0,6,0,19,0,7,0,4,0
